,real,predict
1994-01-20,96.17999,
1994-01-21,96.70999,
1994-01-24,96.53999,
1994-01-25,96.5,
1994-01-26,96.14999,
1994-01-27,95.39999,
1994-01-28,96.17999,
1994-01-31,95.59,
1994-02-01,95.51999,
1994-02-02,95.53,
1994-02-03,95.87,
1994-02-04,96.75,
1994-02-07,96.64,
1994-02-08,96.95,
1994-02-09,96.83,
1994-02-10,96.59999,
1994-02-11,96.64999,
1994-02-14,94.91,
1994-02-15,95.23,
1994-02-16,95.16,
1994-02-17,95.14999,
1994-02-18,94.59999,
1994-02-22,95.23,
1994-02-23,95.37999,
1994-02-24,95.00999,
1994-02-25,94.76999,
1994-02-28,94.55,
1994-03-01,94.76999,
1994-03-02,94.50999,
1994-03-03,94.51999,
1994-03-04,95.16,
1994-03-07,95.23,
1994-03-08,95.01999,
1994-03-09,94.8,
1994-03-10,93.70999,
1994-03-11,93.91,
1994-03-14,94.23,
1994-03-15,94.58,
1994-03-16,94.2,
1994-03-17,94.26999,
1994-03-18,94.56999,
1994-03-21,94.42,
1994-03-22,94.31999,
1994-03-23,94.03999,
1994-03-24,93.56999,
1994-03-25,93.5,
1994-03-28,93.48999,
1994-03-29,93.73,
1994-03-30,93.53999,
1994-03-31,93.06,
1994-04-01,94.31,
1994-04-04,94.31999,
1994-04-05,95.28,
1994-04-06,95.14,
1994-04-07,95.08,
1994-04-08,94.92999,
1994-04-11,94.70999,
1994-04-12,94.89999,
1994-04-13,94.55,
1994-04-14,94.75,
1994-04-15,94.89999,
1994-04-18,94.64,
1994-04-19,94.45,
1994-04-20,94.0,
1994-04-21,93.96,
1994-04-22,93.91,
1994-04-25,93.6,
1994-04-26,93.33,
1994-04-28,92.44,
1994-04-29,92.12,
1994-05-02,92.06,
1994-05-03,91.65,
1994-05-04,92.43,
1994-05-05,92.99,
1994-05-06,92.71,
1994-05-09,92.47,
1994-05-10,93.5,
1994-05-11,93.33,
1994-05-12,93.11,
1994-05-13,93.3,
1994-05-16,93.42,
1994-05-17,93.31,
1994-05-18,92.51,
1994-05-19,92.61,
1994-05-20,92.24,
1994-05-23,92.24,
1994-05-24,92.75,
1994-05-25,92.44,
1994-05-26,92.55,
1994-05-27,92.32,
1994-05-31,92.52,
1994-06-01,92.44,
1994-06-02,92.82,
1994-06-03,93.42,
1994-06-06,93.39,
1994-06-07,93.08,
1994-06-08,93.2,
1994-06-09,93.09,
